last_name, first_name,player_id,year,p_bb_percent,
Colon, Bartolo,,2014,3.5,
Burnett, A.J.,,2014,10.3,
Hudson, Tim,,2014,4.3,
Buehrle, Mark,,2014,5.4,
Vogelsong, Ryan,,2014,7.4,
Dickey, R.A.,,2014,8.1,
Lohse, Kyle,,2014,5.5,
Lackey, John,,2014,5.6,
De La Rosa, Jorge,,2014,8.7,
Lewis, Colby,,2014,6.3,
Peavy, Jake,,2014,7.4,
Harang, Aaron,,2014,8.1,
Guthrie, Jeremy,,2014,5.7,
Wainwright, Adam,,2014,5.6,
Greinke, Zack,,2014,5.2,
Haren, Dan,,2014,4.6,
Santana, Ervin,,2014,7.7,
Simon, Alfredo,,2014,6.8,
Hamels, Cole,,2014,7.1,
Kazmir, Scott,,2014,6.4,
Young, Chris,,2014,8.7,
Danks, John,,2014,8.7,
Hernandez, Roberto,,2014,10.1,
Hernandez, Felix,,2014,5.0,
Verlander, Justin,,2014,7.3,
Liriano, Francisco,,2014,11.7,
Hammel, Jason,,2014,6.2,
McCarthy, Brandon,,2014,3.9,
Feldman, Scott,,2014,6.5,
Stults, Eric,,2014,5.9,
Kluber, Corey,,2014,5.4,
Shields, James,,2014,4.7,
Volquez, Edinson,,2014,8.8,
Vargas, Jason,,2014,5.2,
Weaver, Jered,,2014,7.3,
Wilson, C.J.,,2014,11.2,
Fister, Doug,,2014,3.6,
Gallardo, Yovani,,2014,6.6,
Lester, Jon,,2014,5.4,
Kendrick, Kyle,,2014,6.6,
Kennedy, Ian,,2014,8.3,
Scherzer, Max,,2014,7.0,
Buchholz, Clay,,2014,7.3,
Price, David,,2014,3.8,
Noesi, Hector,,2014,7.6,
Cueto, Johnny,,2014,6.8,
Lynn, Lance,,2014,8.3,
Hughes, Phil,,2014,1.9,
Ross, Tyson,,2014,8.9,
Wood, Travis,,2014,9.7,
Niese, Jonathon,,2014,5.7,
Kershaw, Clayton,,2014,4.1,
Miley, Wade,,2014,8.7,
Garza, Matt,,2014,7.4,
Kuroda, Hiroki,,2014,4.3,
Quintana, Jose,,2014,6.3,
Tillman, Chris,,2014,7.6,
Norris, Bud,,2014,7.6,
Archer, Chris,,2014,8.8,
Gibson, Kyle,,2014,7.5,
Cobb, Alex,,2014,6.9,
Samardzija, Jeff,,2014,4.9,
Leake, Mike,,2014,5.5,
Peralta, Wily,,2014,7.3,
Alvarez III, Henderson,,2014,4.3,
Bumgarner, Madison,,2014,4.9,
Collmenter, Josh,,2014,5.4,
Porcello, Rick,,2014,4.9,
Sale, Chris,,2014,5.7,
Zimmermann, Jordan,,2014,3.6,
Teheran, Julio,,2014,5.8,
Cosart, Jarred,,2014,9.5,
Eovaldi, Nathan,,2014,5.0,
Gray, Sonny,,2014,8.2,
Koehler, Tom,,2014,8.8,
Odorizzi, Jake,,2014,8.2,
Roark, Tanner,,2014,4.9,
Strasburg, Stephen,,2014,5.0,
Iwakuma, Hisashi,,2014,3.0,
Wheeler, Zack,,2014,9.9,
Ventura, Yordano,,2014,8.8,
Hutchison, Drew,,2014,7.6,
Miller, Shelby,,2014,9.6,
Richards, Garrett,,2014,7.5,
Keuchel, Dallas,,2014,5.9,
Elias, Roenis,,2014,9.2,
Chen, Wei-Yin,,2014,4.5,
Wood, Alex,,2014,6.5,
