Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2013,"Chris Dwyer","KCR","AAA",25,159.2,6.313152803052471,4.058455373390874,1.55555556,0.8455115361230988,0.16470588,0.10588235,0.05882353,0.23140496,1.3277662641340515,0.26150628,0.72164948,3.5511484517170153,4.797321340648197,-1.2461728889311816,5.2541445418356005,"10045"
2013,"Brooks Raley","CHC","AAA",25,141.1,6.049527866469483,2.8655658314855446,2.11111111,0.827830129095824,0.1557377,0.07377049,0.08196721,0.25402504,1.3231131123155477,0.28603104,0.68649886,4.457546848977514,4.503726048094394,-0.04617919911687984,4.5980578457569,"10061"
2013,"Johnny Hellweg","MIL","AAA",24,125.2,6.37400582100589,5.801061477544686,1.09876543,0.4297082575959027,0.16211293,0.14754098,0.01457195,0.22687225,1.4641910999564092,0.27019499,0.75421941,3.15119388903662,5.0419125114480305,-1.8907186224114105,5.252847515878822,"10065"
2010,"Jeremy Powell","PIT","AAA",34,134.1,5.828783677716225,2.612903027941756,2.23076923,1.0049627030545216,0.15051903,0.06747405,0.08304498,0.26177024,1.3250619343978136,0.28904429,0.67272727,4.622828434050799,4.4609369521920375,0.16189148185876157,4.428921711972529,"1010490"
2018,"Ryan Weber","TBR","AAA",27,115.1,6.4768788983506616,1.7947977670128339,3.60869565,0.7023121697006741,0.17327766,0.0480167,0.12526096,0.26174497,1.2138728859023997,0.30422535,0.76246334,2.7312139932803996,3.74058517615983,-1.0093711828794305,3.5745107201454345,"10160"
2012,"Shelby Miller","STL","AAA",21,136.2,10.536586150124613,3.292683171913941,3.2,1.5804879225186919,0.26711185,0.08347245,0.1836394,0.25650558,1.375609858488491,0.3220339,0.73155985,4.741463767556075,4.948285179546666,-0.20682141199059068,4.380230473583907,"10197"
2014,"Ariel Pena","MIL","AAA",25,128.1,9.818181039929593,5.259739842819425,1.86666667,0.841558374851108,0.25547445,0.13686131,0.11861314,0.20512821,1.3324674268475876,0.26582278,0.67211055,4.5584411971101675,4.604275117788258,-0.04583392067809022,4.861606701233397,"10240"
2013,"Andy Oliver","PIT","AAA",25,124.1,9.989276548054326,8.107238937551337,1.23214286,0.4343163716545359,0.23834197,0.19343696,0.04490501,0.21428571,1.6970510077612422,0.29245283,0.73699422,4.053619468775668,4.435461362728827,-0.38184189395315826,4.740596523791271,"10257"
2011,"Andy Oliver","DET","AAA",23,147,8.755102040816327,4.8979591836734695,1.7875,0.9183673469387755,0.22136223,0.12383901,0.09752322,0.26512456,1.5578231292517006,0.33168317,0.70754717,4.714285714285714,4.3320246514819924,0.38226106280372196,4.256623889069979,"10257"
2012,"Andy Oliver","DET","AAA",24,118,8.542372881355933,6.711864406779661,1.27272727,0.5338983050847458,0.20895522,0.1641791,0.04477612,0.23146067,1.61864406779661,0.29447853,0.67318132,4.88135593220339,4.3478173449888065,0.5335385872145837,4.754234889667418,"10257"
2016,"Justin Marks","TBR","AAA",28,140,8.164285714285715,3.407142857142857,2.39622642,0.9,0.21709402,0.09059829,0.12649573,0.23674242,1.2714285714285714,0.28682171,0.68965517,3.857142857142857,3.8763744626726426,-0.019231605529785423,3.679175492482526,"10265"
2013,"Justin Marks","KCR","AAA",25,129.2,8.120823259197579,4.233933494111558,1.91803279,0.4858612206357526,0.203125,0.10590278,0.09722222,0.27005871,1.5347044905795995,0.33850129,0.69875776,4.580977223137096,3.9707921602619485,0.6101850628751477,4.786617875724229,"10265"
2014,"Chris Heston","SFG","AAA",26,173,6.502890173410405,2.653179190751445,2.45098039,0.8323699421965318,0.17458101,0.07122905,0.10335196,0.23170732,1.1734104046242775,0.26407767,0.71729958,3.3815028901734103,4.498066946812448,-1.1165640566390374,4.449081791825377,"10302"
2019,"Erasmo Ramirez","BOS","AAA",29,125.1,6.821808787480163,3.087766082754179,2.20930233,1.2925532439436098,0.17690875,0.08007449,0.09683426,0.25562372,1.3404255863118917,0.28457447,0.66305819,4.739361894459903,5.124728931264677,-0.3853670368047739,5.104195206555817,"10314"
2015,"Robbie Erlin","SDP","AAA",24,125.1,7.53989392300439,2.6569150014396423,2.83783784,1.579787298153301,0.18683274,0.0658363,0.12099644,0.29094412,1.5000000608728312,0.32908163,0.6372549,5.601064057088976,5.235023816520138,0.36604024056883855,4.055454750795589,"10354"
2010,"Brian Lawrence","FLA","AAA",34,142.2,7.254673414474445,2.460280549256551,2.94871795,1.1985982163044737,0.18196203,0.06170886,0.12025317,0.2864494,1.443925336600711,0.32962138,0.71805702,4.415888165332271,4.7321402522671985,-0.31625208693492723,4.427579190752708,"1045"
2019,"Scott Copeland","WSN","AAA",31,114.1,8.029154876137552,4.880466689416944,1.64516129,1.5743440933603046,0.19428571,0.11809524,0.07619047,0.27631579,1.6443149419540959,0.31736527,0.65269461,6.218659168773202,6.096970381346573,0.12168878742662947,5.170328559012586,"10706"
