Season,Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2013,"Chris Dwyer","KCR","AAA",25,159.2,0.26150628,0.75518672,0.1242236,0.37681159,0.4989648,0.2033195,0.06224066,0.46341463,0.2703252,0.26626016,0.08834877,1021,1571,2592,"10045"
2013,"Brooks Raley","CHC","AAA",25,141.1,0.28603104,1.26829268,0.16964286,0.46428571,0.36607143,0.23170732,0.07926829,0.43939394,0.23376623,0.32683983,0.08911346,782,1395,2177,"10061"
2013,"Johnny Hellweg","MIL","AAA",24,125.2,0.27019499,2.23404255,0.14845938,0.58823529,0.26330532,0.26595745,0.06382979,0.44109589,0.20547945,0.35342466,0.07973734,925,1207,2132,"10065"
2010,"Jeremy Powell","PIT","AAA",34,134.1,0.28904429,1.19496855,0.18648019,0.44289044,0.37062937,0.19496855,0.09433962,0.48984199,0.248307,0.26185102,0.06954436,747,1338,2085,"1010490"
2018,"Ryan Weber","TBR","AAA",27,115.1,0.30422535,2.24705882,0.22689076,0.53501401,0.23809524,0.16470588,0.10588235,0.49450549,0.24725275,0.25824176,0.08515535,568,1170,1738,"10160"
2012,"Shelby Miller","STL","AAA",21,136.2,0.3220339,0.63451777,0.125,0.33967391,0.53532609,0.20304569,0.12182741,0.42440318,0.24137931,0.33421751,0.0997921,840,1565,2405,"10197"
2014,"Ariel Pena","MIL","AAA",25,128.1,0.26582278,0.77083333,0.20807453,0.3447205,0.44720497,0.28472222,0.08333333,0.3902439,0.26829268,0.34146341,0.14208145,904,1306,2210,"10240"
2013,"Andy Oliver","PIT","AAA",25,124.1,0.29245283,1.30275229,0.17973856,0.46405229,0.35620915,0.18348624,0.05504587,0.440625,0.25625,0.303125,0.11429795,984,1352,2336,"10257"
2011,"Andy Oliver","DET","AAA",23,147,0.33168317,0.98101266,0.23658537,0.37804878,0.38536585,0.16455696,0.09493671,0.39047619,0.27619048,0.33333333,0.09827255,1025,1580,2605,"10257"
2012,"Andy Oliver","DET","AAA",24,118,0.29447853,1.07751938,0.17027864,0.43034056,0.3993808,0.34108527,0.05426357,0.42215569,0.25149701,0.32634731,0.11070111,913,1255,2168,"10257"
2016,"Justin Marks","TBR","AAA",28,140,0.28682171,1.15753425,0.19847328,0.43002545,0.37150127,0.2739726,0.09589041,0.42892768,0.24438903,0.32668329,0.09745939,919,1482,2401,"10265"
2013,"Justin Marks","KCR","AAA",25,129.2,0.33850129,0.93220339,0.11627907,0.42635659,0.45736434,0.16384181,0.03954802,0.45431472,0.25634518,0.2893401,0.09552757,933,1370,2303,"10265"
2014,"Chris Heston","SFG","AAA",26,173,0.26407767,1.69078947,0.21042471,0.496139,0.29343629,0.18421053,0.10526316,0.47924528,0.2245283,0.29622642,0.08628231,907,1608,2515,"10302"
2019,"Erasmo Ramirez","BOS","AAA",29,125.1,0.28457447,1.44094488,0.20103093,0.47164948,0.32731959,0.22834646,0.14173228,0.47461929,0.2284264,0.29695431,0.09639777,737,1234,1971,"10314"
2015,"Robbie Erlin","SDP","AAA",24,125.1,0.32908163,1.42741935,0.23989899,0.4469697,0.31313131,0.18548387,0.17741935,0.41646489,0.28813559,0.29539952,0.09332024,705,1331,2036,"10354"
2010,"Brian Lawrence","FLA","AAA",34,142.2,0.32962138,1.22641509,0.22197802,0.42857143,0.34945055,0.14465409,0.11949686,0.49356223,0.22746781,0.27896996,0.09811828,776,1456,2232,"1045"
2019,"Scott Copeland","WSN","AAA",31,114.1,0.31736527,2.63513514,0.21802326,0.56686047,0.21511628,0.14864865,0.27027027,0.51274788,0.21246459,0.27478754,0.0997009,780,1226,2006,"10706"
2015,"Scott Copeland","TOR","AAA",27,125,0.27543424,2.94186047,0.16089109,0.62623762,0.21287129,0.25581395,0.09302326,0.50851582,0.18734793,0.30413625,0.07915994,714,1143,1857,"10706"
2017,"Scott Copeland","MIA","AAA",29,137.2,0.33253012,2.33,0.21647059,0.54823529,0.23529412,0.12,0.2,0.52183908,0.25747126,0.22068966,0.09421939,846,1351,2197,"10706"
