iter	Logloss
0	0.6920267258
1	0.6907942962
2	0.6891446911
3	0.6873777007
4	0.685928332
5	0.6843466484
6	0.682818177
7	0.6814428231
8	0.680156916
9	0.6788766439
10	0.6774054296
11	0.6756740391
12	0.6745606601
13	0.6725950897
14	0.6715322101
15	0.669752708
16	0.6682641158
17	0.6663257933
18	0.6649890921
19	0.6639294137
20	0.6626262876
21	0.6611355216
22	0.6592879095
23	0.6580369519
24	0.6567493402
25	0.6553413241
26	0.6541231193
27	0.6527563235
28	0.6515922138
29	0.6499361795
30	0.6482900169
31	0.6471609319
32	0.6455835132
33	0.6437192533
34	0.6419261064
35	0.6405749881
36	0.6392018534
37	0.6376480199
38	0.6361444911
39	0.6349271008
40	0.6336130089
41	0.6320009598
42	0.631001116
43	0.629976568
44	0.6288157054
45	0.6274383097
46	0.6257252703
47	0.6241867867
48	0.6230413632
49	0.6216419558
50	0.6205523706
51	0.6192607466
52	0.6179813909
53	0.6161855695
54	0.6146056762
55	0.6131948725
56	0.6114851934
57	0.6099139068
58	0.6088054853
59	0.6073165385
60	0.6063413227
61	0.6048580903
62	0.6030572091
63	0.6018980398
64	0.6003295068
65	0.5995579075
66	0.5980059306
67	0.597291978
68	0.5961977261
69	0.5949821043
70	0.5935836238
71	0.5921431967
72	0.591302477
73	0.5905946258
74	0.5892099454
75	0.5877602895
76	0.5866538232
77	0.5851492936
78	0.5838817543
79	0.5824809359
80	0.5816186463
81	0.5805691474
82	0.5789666467
83	0.5780745128
84	0.5771079876
85	0.576302441
86	0.5754889584
87	0.573820227
88	0.5728952878
89	0.5718201482
90	0.5707388949
91	0.5695341541
92	0.5676873299
93	0.5668108635
94	0.5655238109
95	0.564310408
96	0.5630683301
97	0.5621928785
98	0.5608728627
99	0.5599796804
100	0.5590246471
101	0.5579013885
102	0.5565050113
103	0.5554921422
104	0.5541263078
105	0.5533903194
106	0.5523033329
107	0.5507459329
108	0.5498103527
109	0.548651609
110	0.5477099699
111	0.5467176302
112	0.5458708469
113	0.5450821004
114	0.5441185701
115	0.5427799685
116	0.5415538861
117	0.5405765596
118	0.5395209947
119	0.538174188
120	0.5375271498
121	0.5367550295
122	0.5356087576
123	0.5346998021
124	0.5339493092
125	0.5323381758
126	0.5313073582
127	0.5303828323
128	0.5293248725
129	0.5281087052
130	0.5270567681
131	0.5261937335
132	0.5252347887
133	0.5242229393
134	0.5230501804
135	0.5220350966
136	0.520831198
137	0.5194509991
138	0.5185433856
139	0.5175728256
140	0.5168122189
141	0.5161762147
142	0.5153430118
143	0.514443365
144	0.513338821
145	0.512699879
146	0.51134499
147	0.5105156289
148	0.5097613294
149	0.5086170756
150	0.5078137531
151	0.5069600601
152	0.5060884799
153	0.505121143
154	0.5038260885
155	0.5030276103
156	0.5016166161
157	0.5001339244
158	0.4991496485
159	0.4984618841
160	0.4973982577
161	0.4965720416
162	0.4952367914
163	0.4943642567
164	0.4936393504
165	0.4928169977
166	0.4919021563
167	0.4910776737
168	0.4904904424
169	0.4896614813
170	0.4891474351
171	0.4884287905
172	0.4874224053
173	0.4868467671
174	0.4859644387
175	0.4851572834
176	0.4842663308
177	0.4835009823
178	0.4825563797
179	0.4817969813
180	0.4812476463
181	0.4803705234
182	0.4796856886
183	0.4789387376
184	0.4780229204
185	0.4767474939
186	0.4758711809
187	0.4747625309
188	0.4738693418
189	0.4725658803
190	0.4715123624
191	0.4707383992
192	0.4699936365
193	0.4690363737
194	0.4684665289
195	0.4675437027
196	0.4663639963
197	0.4654923705
198	0.4645774473
199	0.4636279137
200	0.4627868781
201	0.4619148807
202	0.4612456908
203	0.4604992221
204	0.4594019936
205	0.4584095582
206	0.4577114871
207	0.4571268279
208	0.4561486262
209	0.4555020445
210	0.4545696044
211	0.4539692217
212	0.4529255236
213	0.452029836
214	0.4514798531
215	0.45056087
216	0.4498138089
217	0.4484778986
218	0.4474920748
219	0.4465952258
220	0.4458815573
221	0.4446998925
222	0.443865045
223	0.4431562293
224	0.4423606671
225	0.4415786989
226	0.4411943153
227	0.440652463
228	0.439670714
229	0.4384582801
230	0.4378900645
231	0.4371881471
232	0.4361413306
233	0.43556873
234	0.4348482061
235	0.4337817169
236	0.4327583877
237	0.4319603831
238	0.4310739578
239	0.4305597503
240	0.4294989154
241	0.4290399484
242	0.4281466382
243	0.4274738566
244	0.4268156611
