iter	Passed	Remaining
0	2	2581
1	4	2280
2	6	2174
3	8	2115
4	10	2080
5	12	2051
6	14	2014
7	15	1973
8	17	1963
9	19	1944
10	21	1922
11	23	1914
12	25	1910
13	27	1903
14	28	1888
15	30	1874
16	32	1864
17	33	1853
18	35	1843
19	37	1839
20	39	1835
21	41	1834
22	43	1828
23	44	1826
24	46	1816
25	48	1815
26	50	1807
27	51	1800
28	53	1792
29	55	1785
30	56	1778
31	58	1772
32	60	1767
33	62	1762
34	63	1756
35	65	1754
36	67	1748
37	69	1747
38	70	1746
39	72	1739
40	74	1733
41	75	1729
42	77	1723
43	79	1718
44	80	1712
45	82	1706
46	83	1702
47	85	1699
48	87	1693
49	88	1688
50	90	1683
51	92	1679
52	93	1673
53	95	1669
54	96	1665
55	98	1660
56	100	1656
57	101	1651
58	103	1647
59	104	1642
60	106	1637
61	107	1633
62	109	1629
63	111	1625
64	112	1621
65	114	1617
66	115	1613
67	117	1610
68	119	1606
69	120	1603
70	122	1600
71	123	1597
72	125	1596
73	127	1593
74	129	1591
75	130	1588
76	132	1588
77	134	1586
78	135	1585
79	137	1583
80	139	1582
81	141	1582
82	143	1580
83	144	1579
84	146	1578
85	148	1576
86	150	1574
87	151	1572
88	153	1571
89	155	1571
90	157	1570
91	158	1568
92	160	1568
93	162	1566
94	164	1564
95	166	1564
96	167	1561
97	169	1559
98	171	1558
99	172	1556
100	174	1555
101	176	1554
102	178	1554
103	180	1553
104	182	1551
105	183	1550
106	185	1548
107	187	1547
108	189	1546
109	190	1544
110	192	1539
111	194	1538
112	195	1537
113	197	1534
114	199	1532
115	200	1530
116	202	1528
117	204	1526
118	206	1526
119	207	1523
120	209	1520
121	210	1517
122	212	1515
123	214	1512
124	215	1510
125	217	1506
126	218	1504
127	220	1501
128	221	1498
129	223	1495
130	225	1493
131	226	1490
132	228	1487
133	229	1484
134	231	1481
135	232	1478
136	234	1475
137	235	1473
138	237	1471
139	239	1468
140	240	1466
141	242	1463
142	243	1461
143	245	1458
144	246	1455
145	248	1452
146	249	1450
147	251	1447
148	253	1445
149	254	1442
150	256	1440
151	257	1438
152	259	1436
153	261	1433
154	262	1431
155	264	1429
156	265	1427
157	267	1425
158	269	1422
159	270	1420
160	272	1418
161	273	1416
162	275	1414
163	276	1411
164	278	1409
165	280	1406
166	281	1404
167	283	1402
168	284	1399
169	286	1396
170	287	1393
171	288	1390
172	290	1391
173	293	1392
174	295	1390
175	296	1389
176	298	1387
177	300	1387
178	302	1385
179	303	1383
180	305	1381
181	306	1378
182	308	1376
183	310	1375
184	312	1374
185	313	1374
186	315	1371
187	318	1375
188	320	1374
189	321	1372
190	323	1370
191	325	1368
192	326	1367
193	328	1365
194	330	1363
195	332	1362
196	333	1360
197	335	1360
198	337	1358
199	339	1356
200	340	1355
201	342	1354
202	344	1352
203	346	1351
204	348	1350
205	350	1349
206	351	1347
207	353	1346
208	355	1344
209	357	1343
210	358	1341
211	360	1340
212	362	1338
213	364	1337
214	365	1336
215	367	1334
216	369	1333
217	371	1331
218	373	1330
219	374	1329
220	376	1327
221	378	1326
222	380	1325
223	382	1324
224	383	1322
225	385	1320
226	387	1317
227	388	1315
228	390	1313
229	391	1311
230	393	1309
231	395	1307
232	396	1306
233	398	1304
234	400	1302
235	401	1300
236	403	1298
237	404	1296
238	406	1293
239	407	1291
240	409	1289
241	411	1287
242	412	1285
243	414	1283
244	415	1281
245	417	1279
246	418	1276
247	420	1274
248	421	1272
249	423	1270
250	425	1268
251	426	1266
252	428	1264
253	429	1262
254	431	1260
255	433	1258
256	434	1256
257	436	1254
258	437	1252
259	439	1250
260	441	1248
261	442	1246
262	444	1244
263	445	1242
264	447	1240
265	448	1238
266	450	1236
267	451	1234
268	453	1232
269	454	1229
270	456	1227
271	457	1225
272	459	1223
273	461	1221
274	462	1219
275	464	1217
276	465	1215
277	467	1213
278	469	1212
279	470	1209
280	472	1207
281	473	1206
282	475	1204
283	477	1202
284	478	1200
285	480	1198
286	481	1196
287	483	1194
288	484	1193
289	486	1191
290	488	1189
291	489	1187
292	491	1185
293	492	1183
294	494	1182
295	496	1180
296	497	1178
297	499	1177
298	501	1175
299	502	1173
300	504	1171
301	506	1170
302	508	1168
303	509	1166
304	511	1164
305	512	1162
306	514	1161
307	516	1159
308	517	1157
309	519	1155
310	520	1153
311	522	1152
312	525	1152
313	526	1150
314	528	1148
315	529	1147
316	531	1144
317	533	1144
318	535	1142
319	536	1141
320	538	1139
321	540	1137
322	542	1136
323	544	1136
324	546	1134
325	547	1132
326	549	1130
327	551	1129
328	553	1128
329	554	1126
330	556	1124
331	557	1122
332	559	1120
333	561	1119
334	562	1117
335	564	1115
336	566	1113
337	567	1111
338	569	1109
339	571	1108
340	572	1106
341	574	1104
342	575	1102
343	577	1100
344	579	1099
345	580	1097
346	582	1095
347	584	1094
348	586	1093
349	588	1093
350	590	1092
351	592	1091
352	594	1090
353	596	1089
354	599	1088
355	600	1086
356	602	1084
357	603	1082
358	604	1079
359	606	1078
360	608	1077
361	609	1074
362	611	1072
363	612	1070
364	614	1068
365	616	1067
366	617	1065
367	619	1063
368	620	1061
369	621	1059
370	623	1056
371	625	1055
372	626	1053
373	627	1051
374	629	1048
375	630	1046
376	632	1044
377	633	1043
378	636	1042
379	637	1040
380	638	1037
381	640	1035
382	641	1033
383	643	1032
384	644	1030
385	646	1028
386	647	1025
387	649	1023
388	650	1021
389	652	1020
390	654	1018
391	655	1017
392	657	1015
393	658	1012
394	660	1011
395	662	1009
396	663	1007
397	664	1005
398	666	1003
399	667	1001
400	669	999
401	671	998
402	672	996
403	673	994
404	675	992
405	676	990
406	678	987
407	679	986
408	681	984
409	683	983
410	684	981
411	686	979
412	687	977
413	689	976
414	691	974
415	692	972
416	694	970
417	695	968
418	696	966
419	698	965
420	700	963
421	702	961
422	703	959
423	704	957
424	706	955
425	708	954
426	709	952
427	711	950
428	712	948
429	713	946
430	715	944
431	717	942
432	718	941
433	720	939
434	721	937
435	722	935
436	724	933
437	725	931
438	727	929
439	729	927
440	730	925
441	731	923
442	733	921
443	734	919
444	736	918
445	737	916
446	739	914
447	740	912
448	742	910
449	743	908
450	745	907
451	746	905
452	748	903
453	749	901
454	750	899
455	752	897
456	754	896
457	755	894
458	757	892
459	758	890
460	760	888
461	761	886
462	763	885
463	765	883
464	766	881
465	767	879
466	769	877
467	770	876
468	772	874
469	774	873
470	775	871
471	777	869
472	778	867
473	779	865
474	797	881
475	799	879
476	801	878
477	802	876
478	804	874
479	805	872
480	806	870
481	808	868
482	810	867
483	812	865
484	813	863
485	814	861
486	816	859
487	817	857
488	819	856
489	821	854
490	822	853
491	824	851
492	825	849
493	826	846
494	828	845
