연도,선수명,팀명,MLB시즌,재계약,Age,Pitches,Balls,Barrels,Barrel%,Barrel/PA,Velocity,Max EV,Angle,Spot %,XBA,XSLG,WOBA,XWOBA,XWOBACON,HardHit%,K%,BB%,ERA,xERA
16,헥터,KIA,15,1,28,609,114,7,6.1,4.5,86.3,110.1,17.7,36.0,0.258,0.424,0.393,0.34,0.354,29.8,14.3,11.0,6.89,4.87
16,피노,KT,15,0,31,279,66,5,7.6,6.1,90.5,110.6,15.9,37.9,0.271,0.462,0.319,0.328,0.377,54.5,15.9,3.7,3.26,4.49
16,마리몬,KT,15,0,26,418,89,4,4.5,3.4,88.6,109.5,16.2,31.5,0.248,0.41,0.389,0.33,0.325,32.6,12.0,12.0,7.36,4.55
18,듀브론트,롯데,15,0,27,1268,449,16,6.5,4.9,89.6,115.2,10.3,29.0,0.273,0.438,0.351,0.338,0.38,33.5,17.1,7.9,5.5,4.8
16,허프,LG,15,1,30,94,24,2,8.3,6.7,86.4,107.3,10.6,20.8,0.307,0.496,0.464,0.381,0.427,16.7,13.3,3.3,9.0,6.35
16,서캠프,한화,15,0,27,51,9,1,11.1,6.3,93.2,100.7,11.0,22.2,0.328,0.537,0.501,0.444,0.567,55.6,25.0,6.3,10.8,9.39
16,웹스터,삼성,15,0,25,517,103,11,10.7,7.7,89.4,112.0,9.5,34.0,0.262,0.502,0.408,0.382,0.383,34.0,12.0,14.1,5.81,6.4
16,플란데,삼성,15,0,29,1068,227,16,7.0,5.4,90.1,110.1,2.6,26.9,0.274,0.474,0.364,0.355,0.392,40.1,14.5,8.4,4.74,5.37
16,벨레스터,삼성,15,0,29,280,50,3,6.0,3.9,90.4,111.2,22.8,40.0,0.238,0.412,0.395,0.352,0.35,34.0,16.9,16.9,7.47,5.27
16,레온,삼성,15,0,26,426,87,5,5.7,4.3,90.4,114.4,11.0,29.9,0.27,0.448,0.327,0.341,0.393,37.9,16.5,7.8,4.39,4.9
