연도,구단,이름,재계약여부
2014,삼성,야마이코 나바로,1
2014,두산,호르헤 칸투,0
2014,LG,조쉬 벨,0
2014,LG,브래드 스나이더,0
2014,넥센,비니 로티노,0
2014,롯데,루이스 히메네스A,0
2014,SK,루크 스캇,0
2014,NC,에릭 테임즈,1
2014,KIA,브렛 필,1
2014,한화,펠릭스 피에,0
2015,LG,잭 한나한,0
2015,LG,루이스 히메네스B,1
2015,SK,앤드류 브라운,0
2015,두산,잭 루츠,0
2015,두산,데이빈슨 로메로,0
2015,롯데,짐 아두치,1
2015,한화,나이저 모건,0
2015,한화,제이크 폭스,0
2015,KT,댄 블랙,0
2015,KT,앤디 마르테,1
2016,두산,닉 에반스,1
2016,삼성,아롬 발디라스,0
2016,넥센,대니 돈,1
2016,SK,헥터 고메즈,0
2016,한화,윌린 로사리오,1
2016,롯데,저스틴 맥스웰,0
2017,NC,재비어 스크럭스,1
2017,넥센,마이클 초이스,1
2017,LG,제임스 로니,0
2017,KIA,로저 버나디나,1
2017,SK,대니 워스,0
2017,SK,제이미 로맥,1
2017,롯데,앤디 번즈,1
2017,삼성,다린 러프,1
2017,KT,멜 로하스 주니어,1
2018,두산,지미 파레디스,0
2018,두산,스캇 반 슬라이크,0
2018,LG,아도니스 가르시아,0
2018,넥센,제리 샌즈,1
2018,한화,제라드 호잉,1
2019,두산,호세 미겔 페르난데스,1
2019,KIA,제레미 해즐베이커,0
2019,KIA,프레스턴 터커,1
2019,삼성,맥 윌리엄슨,0
2019,롯데,카를로스 아수아헤,0
2019,롯데,제이콥 윌슨,0
2019,LG,토미 조셉,0
2019,LG,카를로스 페게로,0
2019,NC,크리스티안 베탄코트,0
2019,NC,제이크 스몰린스키,0
2020,키움,테일리 모터,0
2020,키움,에디슨 러셀,0
2020,SK,타일러 화이트,0
2020,LG,로베르토 라모스,1
2020,NC,애런 알테어,1
2020,삼성,타일러 살라디노,0
2020,삼성,다니엘 팔카,0
2020,한화,브랜든 반즈,0
2020,롯데,딕슨 마차도,1
2021,KT,조일로 알몬테,0
2021,LG,저스틴 보어,0
2021,키움,데이비드 프레이타스,0
2021,키움,윌 크레익,0
2021,삼성,호세 피렐라,1
2021,한화,라이온 힐리,0
2021,한화,에르난 페레즈,0
2022,KT,헨리 라모스,0
2022,KT,앤서니 알포드,1
2022,삼성,호세 피렐라,1
2022,LG,로벨 가르시아,0
2022,키움,야시엘 푸이그,0
2022,SSG,케빈 크론,0
2022,SSG,후안 라가레스,0
2022,NC,닉 마티니,0
2022,롯데,DJ 피터스,0
2022,롯데,잭 레스,1
2022,KIA,소크라테스 브리토,1
2022,한화,마이크 터크먼,0
