last_name, first_name,player_id,year,player_age,b_total_pa,b_k_percent,b_bb_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,pitch_count,batted_ball,
Pujols, Albert,405395,2021,41,296,15.2,4.7,.256,.460,.302,.322,.302,.204,90.3,12,29.3,21,9.1,39.7,100.714355517,6.638800431,1123,232,
Cabrera, Miguel,408234,2021,38,526,22.4,7.6,.234,.420,.305,.315,.301,.186,91.4,10,32.8,30,8.3,49,101.953387486,7.613068408,2035,363,
Molina, Yadier,425877,2021,38,473,16.7,5.1,.255,.406,.290,.306,.300,.151,88,15.3,34.1,19,5.2,31.6,97.653775275,4.936144353,1669,364,
Suzuki, Kurt,435559,2021,37,247,17.8,4.9,.204,.310,.282,.264,.278,.105,85.2,14.6,28.9,7,3.9,27.2,95.984336023,3.998129261,912,180,
Cruz Jr., Nelson,443558,2021,40,584,21.6,8.7,.264,.512,.346,.363,.341,.248,92.9,11.8,31.8,54,13.6,52.5,105.497885455,9.364589369,2198,396,
Peralta, David,444482,2021,33,538,17.1,8.6,.243,.345,.314,.293,.313,.103,89.3,5.3,27.2,20,5,41.8,101.204662576,6.748489747,2062,397,
Pina, Manny,444489,2021,34,208,18.3,10.6,.219,.441,.315,.331,.320,.222,86.5,18.8,32.2,15,10.5,32.2,97.71228493,4.909556338,801,143,
Escobar, Alcides,444876,2021,34,349,16.0,4.9,.271,.362,.325,.309,.325,.091,81.7,11.1,36.3,8,3,21,93.737835538,3.096947761,1383,267,
Longoria, Evan,446334,2021,35,291,23.4,12.0,.253,.486,.352,.351,.344,.234,94.1,15.5,34.2,25,13.4,54.5,102.080352447,8.205606417,1155,187,
Cabrera, Asdrubal,452678,2021,35,352,22.7,10.2,.214,.331,.297,.286,.302,.117,87.8,14.5,30,14,6,30.9,97.083983103,4.69338342,1366,233,
Blackmon, Charlie,453568,2021,34,582,15.6,9.3,.291,.450,.333,.359,.369,.160,87.6,10.2,32.6,30,7,38.5,99.359821596,5.750499272,2144,426,
