연도,구단,이름,재계약여부
2016,넥센,대니 돈,1
2016,SK,헥터 고메즈,0
2016,한화,윌린 로사리오,1
2016,롯데,저스틴 맥스웰,0
2017,NC,재비어 스크럭스,1
2017,LG,제임스 로니,0
2017,SK,대니 워스,0
2017,SK,제이미 로맥,1
2017,삼성,다린 러프,1
2018,두산,지미 파레디스,0
2018,두산,스캇 반 슬라이크,0
2018,LG,아도니스 가르시아,0
2018,넥센,제리 샌즈,1
2018,한화,제라드 호잉,1
2019,두산,호세 미겔 페르난데스,1
2019,KIA,제레미 해즐베이커,0
2019,KIA,프레스턴 터커,1
2019,삼성,맥 윌리엄슨,0
2019,롯데,카를로스 아수아헤,0
2019,LG,토미 조셉,0
2019,NC,제이크 스몰린스키,0
2020,키움,테일리 모터,0
2020,키움,에디슨 러셀,0
2020,SK,타일러 화이트,0
2020,NC,애런 알테어,1
2020,삼성,타일러 살라디노,0
2020,삼성,다니엘 팔카,0
2020,한화,브랜든 반즈,0
2020,롯데,딕슨 마차도,1
2021,LG,저스틴 보어,0
2021,키움,데이비드 프레이타스,0
2021,삼성,호세 피렐라,1
2021,한화,라이온 힐리,0
2021,한화,에르난 페레즈,0
2022,KT,헨리 라모스,0
2022,KT,앤서니 알포드,1
2022,삼성,호세 피렐라,1
2022,LG,로벨 가르시아,0
2022,키움,야시엘 푸이그,0
2022,SSG,케빈 크론,0
2022,SSG,후안 라가레스,0
2022,NC,닉 마티니,0
2022,롯데,DJ 피터스,0
2022,롯데,잭 레스,1
2022,KIA,소크라테스 브리토,1
2022,한화,마이크 터크먼,0
