영문이름,이름,재계약,Season,Age,Pitches,Batted Balls,Barrels,Barrel%,Barrel/PA,Exit Velocity,Max EV,Launch Angle,Sweet Spot %,XBA,XSLG,WOBA,XWOBACON,HardHit%,HardHit%,K%,BB%
Daniel Casey Dorn,대니돈,1,2015,30,125,20,0,0,0,86.2,104.7,8.6,25,0.184,0.234,0.192,0.215,0.279,35,31.3,6.3
Hector Alexis Gomez,헥터 고메즈,0,2015,27,488,89,3,3.4,2.2,86.2,111.8,14.2,36,0.222,0.311,0.231,0.25,0.342,29.2,29.9,2.2
Wilin Arismendy Rosario,윌린 로사리오,1,2015,26,859,177,8,4.5,3.3,88.3,113.8,5.8,26,0.231,0.354,0.303,0.269,0.34,33.9,23.1,3.3
Justin Adam Maxwell,저스틴 맥스웰,0,2015,31,1030,175,9,5.1,3.3,88.3,110.7,10.3,30.9,0.213,0.358,0.271,0.283,0.359,32,27.7,7.3
Xavier Ladel Scruggs,재비어 스크럭스,1,2015,31,1030,175,9,5.1,3.3,88.3,110.7,10.3,30.9,0.213,0.358,0.271,0.283,0.359,32,27.7,7.3
James Anthony Loney,제임스 로니,0,2016,32,1248,308,5,1.6,1.4,87.5,108.9,13,34.1,0.271,0.383,0.302,0.302,0.316,31.5,10.1,4.4
Danny Worth,대니 워스,0,2016,30,145,33,0,0,0,86.8,103.8,10.9,30.3,0.248,0.313,0.189,0.253,0.286,30.3,15,2.5
"James ""Jamie"" Robert Romak",제이미 로맥,1,2015,29,68,9,0,0,0,87.4,112.2,23.8,22.2,0.236,0.306,0.365,0.265,0.395,33.3,37.5,6.3
Darin Cortland Ruf,다린 러프,1,2016,29,351,60,5,8.3,5.6,89.2,109.9,15.2,33.3,0.236,0.455,0.245,0.305,0.408,40,28.1,4.5
jimmy paredes,지미 파레디스,0,2016,27,632,112,11,9.8,6.6,89.9,110.4,6.3,24.1,0.22,0.384,0.266,0.279,0.376,37.5,28.7,4.2
Scott T. Van Slyke,스캇 반 슬라이크,0,2017,30,200,26,4,15.4,8.3,86.5,107.7,17.9,38.5,0.2,0.398,0.236,0.304,0.39,42.3,31.3,14.6
Adonis García,아도니스 가르시아,0,2017,32,707,151,5,3.3,2.7,87.4,107.8,6.3,23.8,0.253,0.383,0.269,0.295,0.317,34,12.6,3.8
Jerry Sands,제리 샌즈,1,2016,28,228,31,1,3.2,1.7,86.2,109.1,2.6,22.6,0.204,0.249,0.252,0.223,0.355,25.8,41.4,5.2
Jared Hoying,제라드 호잉,1,2017,28,283,50,0,0,0,82.7,111.5,10.2,28,0.212,0.256,0.246,0.225,0.291,20,29.9,5.2
José Miguel Fernández,호세 미겔 페르난데스,1,2018,30,445,101,3,3,2.4,85.4,106.9,11.7,36.6,0.279,0.394,0.304,0.313,0.334,36.6,12.2,4.9
Jeremy Hazelbaker,제레미 헤즐베이커,0,2017,29,254,32,0,0,0,88.4,111.7,13.7,34.4,0.238,0.344,0.422,0.301,0.403,34.4,32.8,14.8
Preston Tucker,프레스톤 터커,1,2018,27,716,124,5,4,2.7,90.8,111.2,11.7,28.2,0.224,0.344,0.306,0.287,0.33,39.5,23.4,7.1
Mac Williamson,맥 윌리엄슨,0,2018,27,428,67,5,7.5,4.8,87.3,114.2,2,28.4,0.212,0.387,0.298,0.303,0.362,40.3,25.7,10.5
Carlos Asuaje,카를로스 아수아헤,0,2018,26,841,147,6,4.1,2.8,87,104,15.4,34.7,0.219,0.317,0.255,0.285,0.309,25.9,21.1,11
Tommy Joseph,토미 조셉,0,2017,25,2026,369,27,7.3,5.1,89.3,112.8,14.1,30.9,0.238,0.401,0.305,0.298,0.366,40.3,24.2,6.2
