연도,구단,KBO_팀순위,이름,수비율,연봉,재계약,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR
2014,삼성,1,야마이코 나바로,0.987,25000,1,27,2B,125,602,500,118,154,27,1,31,276,98,25,9,96,1,1,71,7,0,5,0.308,0.417,0.552,0.969,0.424,139.2,6.23
2014,두산,6,호르헤 칸투,0.994,30000,0,32,1B,111,419,376,56,116,25,1,18,197,72,1,0,34,7,0,85,11,0,2,0.309,0.375,0.524,0.899,0.395,134.8,3.1
2014,LG,4,조쉬 벨,0.981,25000,0,28,3B,63,275,240,33,64,8,1,10,104,39,3,0,30,1,1,56,10,0,4,0.267,0.346,0.433,0.779,0.347,101.6,1.47
2014,LG,4,브래드 스나이더,1,15000,0,32,CF,37,113,100,17,21,7,0,4,40,17,0,2,9,3,0,31,0,0,1,0.21,0.292,0.4,0.692,0.308,76.2,0.14
2014,넥센,2,비니 로티노,0.987,27000,0,34,LF,79,247,216,30,66,18,0,2,90,22,2,0,29,1,3,22,7,0,1,0.306,0.389,0.417,0.805,0.368,104.1,1.11
2014,롯데,7,루이스 히메네스A,0.988,30000,0,32,1B,80,303,260,42,82,15,0,14,139,61,0,2,41,1,2,57,11,0,1,0.315,0.409,0.535,0.944,0.415,134.6,1.94
2014,SK,5,루크 스캇,1,30000,0,36,DH,33,130,105,17,28,7,0,6,53,17,0,0,20,3,1,18,1,0,2,0.267,0.392,0.505,0.897,0.393,125.1,0.72
2014,NC,3,에릭 테임즈,0.992,25000,1,29,1B,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,0.381,0.498,0.79,1.288,0.53,222.3,10.71
2014,KIA,8,브렛 필,0.996,25000,1,30,1B,92,389,362,64,112,27,0,19,196,66,10,1,22,3,1,65,10,0,2,0.309,0.352,0.541,0.894,0.386,119.8,2.37
2014,한화,9,펠릭스 피에,0.99,25000,0,29,CF,119,498,445,61,145,33,2,17,233,92,9,11,41,0,1,60,11,0,12,0.326,0.374,0.524,0.897,0.39,115.7,3.03
2015,LG,9,잭 한나한,0.987,70000,0,35,DH,32,126,107,17,35,9,0,4,56,22,0,0,12,3,0,31,4,1,3,0.327,0.4,0.523,0.923,0.403,143.3,0.76
