Season,연도,구단,이름,재계약,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2013,2014,삼성,야마이코 나바로,1,108,452,390,59,104,21,1,12,53,9,2,53,73,0.267,0.354,0.418,0.772,163,7,3,0,6,0
2013,2014,두산,호르헤 칸투,0,21,90,86,12,25,5,0,4,22,0,0,2,11,0.291,0.3,0.488,0.788,42,5,0,0,2,0
2013,2014,LG,조쉬 벨,0,52,210,177,25,40,8,0,5,21,0,0,28,45,0.226,0.324,0.356,0.68,63,6,0,0,5,1
2013,2014,LG,브래드 스나이더,0,116,458,411,77,128,29,5,12,60,7,11,40,118,0.311,0.37,0.494,0.864,203,6,1,1,5,2
2013,2014,넥센,비니 로티노,0,96,420,374,60,111,28,2,9,66,14,6,34,53,0.297,0.355,0.455,0.809,170,5,4,0,8,5
2013,2014,롯데,루이스 히메네스A,0,99,402,354,57,101,16,2,18,73,3,1,39,65,0.285,0.351,0.494,0.845,175,14,1,0,8,3
2013,2014,SK,루크 스캇,0,8,33,30,4,8,1,0,0,2,0,0,2,6,0.267,0.333,0.3,0.633,9,1,1,0,0,1
2013,2014,NC,에릭 테임즈,1,98,420,368,53,104,21,2,10,49,8,2,44,96,0.283,0.367,0.432,0.799,159,5,6,0,2,1
2013,2014,KIA,브렛 필,1,68,298,276,48,95,21,2,18,79,1,0,15,40,0.344,0.379,0.63,1.01,174,2,3,0,4,2
2013,2014,한화,펠릭스 피에,0,105,396,354,53,89,17,4,8,40,38,9,37,83,0.251,0.325,0.39,0.715,138,7,2,2,1,2
2014,2015,LG,잭 한나한,0,12,44,40,1,12,3,0,0,6,0,0,3,9,0.3,0.341,0.375,0.716,15,2,0,0,1,1
2014,2015,LG,루이스 히메네스B,1,14,57,57,4,8,0,1,2,6,0,0,0,9,0.14,0.14,0.281,0.421,16,1,0,0,0,0
2014,2015,SK,앤드류 브라운,0,103,446,385,65,109,26,1,21,69,2,0,52,87,0.283,0.372,0.519,0.892,200,12,5,0,4,1
2014,2015,두산,잭 루츠,0,59,264,227,39,66,11,2,7,37,1,1,29,50,0.291,0.386,0.449,0.836,102,3,7,0,1,1
2014,2015,두산,데이빈슨 로메로,0,123,492,419,50,111,31,2,8,45,0,1,60,88,0.265,0.364,0.406,0.77,170,9,8,0,5,0
2014,2015,롯데,짐 아두치,1,13,52,49,6,15,2,1,1,9,3,1,2,13,0.306,0.327,0.449,0.776,22,0,0,0,1,0
2014,2015,한화,나이저 모건,0,15,64,60,4,12,4,0,1,7,1,0,3,16,0.2,0.234,0.317,0.551,19,2,0,0,1,0
2014,2015,한화,제이크 폭스,0,78,319,286,42,88,15,0,22,70,0,0,20,49,0.308,0.373,0.591,0.964,169,9,11,0,2,3
2014,2015,KT,댄 블랙,0,92,385,334,39,88,19,0,11,43,3,1,43,76,0.264,0.344,0.419,0.763,140,11,1,1,6,2
2014,2015,KT,앤디 마르테,1,126,526,471,81,155,32,3,19,80,1,0,48,62,0.329,0.388,0.531,0.919,250,19,1,0,6,6
2015,2016,두산,닉 에반스,1,139,583,520,79,161,37,0,17,94,0,1,59,111,0.31,0.381,0.479,0.86,249,13,2,0,2,0
2015,2016,삼성,아롬 발디라스,0,139,525,465,38,120,23,0,13,56,0,0,43,62,0.258,0.333,0.391,0.725,182,12,12,0,5,2
2015,2016,넥센,대니 돈,1,81,329,289,58,108,28,3,10,54,2,2,28,52,0.374,0.43,0.595,1.025,172,8,5,1,6,0
2015,2016,SK,헥터 고메즈,0,29,115,106,16,38,11,4,3,22,2,0,7,17,0.358,0.4,0.623,1.023,66,3,1,0,1,2
2015,2016,한화,윌린 로사리오,1,38,155,148,18,44,12,1,7,23,1,1,5,31,0.297,0.329,0.534,0.863,79,7,2,0,0,0
